路段代码,路线代码,路线名称,路段序列号,路段所在行政区域,起点名称,起点桩号,讫点名称,讫点桩号,路段技术等级,路段路面类型,路段里程,实际里程,路面宽度,路基宽度,涵洞数量,是否为共用路段,共用路段是否为长链,所共用路线代码,所共用路段序列号,是否待贯通路段,最新改建时间(年份),建成时间(年份),管养单位代码,管养单位名称,是否为城市道路路段,备注,变更原因,填报单位,填报单位代码,断链类型,国道调整前路线编号,国道调整前路线名称,原路线代码,原路线起点桩号,原路线讫点桩号,对应原路线里程,是否变化,路线编号,填报单位负责人,填表人,填表人电话,统计负责人,统计负责人电话
C169120112001,C169120112,天山大道,001,120112102000,小站镇北马路,0.00,前营路,1.39,4.三级公路,11.沥青混凝土,1.39,1.39,9.00,10.00,0,2.否,,,,2.否,,2011,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C169,孙国斌,韩静漪,02288531156,李国强,02288531156
C5A1120112001,C5A1120112,东马路,001,120112102000,北马路,0.00,葛万线,1.98,3.二级公路,11.沥青混凝土,1.98,1.88,15.00,16.00,0,2.否,,,,2.否,,2013,121011121,津南区公路建设养护中心,2.否,,21.指标变更或地理位置变更,津南区公路建设养护中心,121011121,,,,,,,,,C5A1,孙国斌,韩静漪,02288531156,李国强,02288531156
C5A3120112001,C5A3120112,东西庄房村路支路,001,120112102000,东西庄房村路,0.00,村西,0.20,5.四级公路,12.水泥混凝土,0.20,0.20,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5A3120112,0.00,0.20,0.20,2.否,C5A3,孙国斌,韩静漪,02288531156,李国强,02288531156
C5A4120112001,C5A4120112,东西庄房支路1,001,120112102000,东西庄房村路,0.00,村内,0.08,5.四级公路,11.沥青混凝土,0.08,0.08,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5A4120112,0.00,0.08,0.08,2.否,C5A4,孙国斌,韩静漪,02288531156,李国强,02288531156
C5A5120112001,C5A5120112,东西庄房支路2,001,120112102000,东西庄房村路,0.00,村内,0.11,5.四级公路,12.水泥混凝土,0.11,0.11,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5A5120112,0.00,0.11,0.11,2.否,C5A5,孙国斌,韩静漪,02288531156,李国强,02288531156
C5A7120112001,C5A7120112,南副营支路一,001,120112102000,四道沟村路,0.00,南副营村委会,0.48,5.四级公路,12.水泥混凝土,0.48,0.49,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5A7120112,0.00,0.48,0.48,2.否,C5A7,孙国斌,韩静漪,02288531156,李国强,02288531156
C5A8120112001,C5A8120112,南副营支路,001,120112102000,小站中心道,0.00,南副营村北,0.31,5.四级公路,12.水泥混凝土,0.31,0.32,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5A8120112,0.00,0.31,0.31,2.否,C5A8,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AA120112001,C5AA120112,会场路支路1,001,120112102000,村内,0.00,会馆村交界,1.34,5.四级公路,12.水泥混凝土,1.34,1.35,5.00,6.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AA120112,0.00,1.34,1.34,2.否,C5AA,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AB120112001,C5AB120112,会场路支路2,001,120112102000,会场路支路二,0.00,村内,0.18,5.四级公路,12.水泥混凝土,0.18,0.17,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AB120112,0.00,0.18,0.18,2.否,C5AB,孙国斌,韩静漪,02288531156,李国强,02288531156
C5AC120112001,C5AC120112,会场路支路3,001,120112102000,迎新村交界,0.00,操场河村内,0.22,5.四级公路,11.沥青混凝土,0.22,0.23,4.00,5.00,0,2.否,,,,2.否,,2014,121011121,津南区公路建设养护中心,2.否,,10.未变更,津南区公路建设养护中心,121011121,,,,C5AC120112,0.00,0.22,0.22,2.否,C5AC,孙国斌,韩静漪,02288531156,李国强,02288531156
